auto_name,param,required,default_kind,default_scalar,default_obj_id,kind
AutoMLP,refit_with_val,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoMLP,search_alg,False,object,,533e6ebe1215,POSITIONAL_OR_KEYWORD
AutoMLP,valid_loss,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoMLP,verbose,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoMLPMultivariate,alias,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoMLPMultivariate,backend,False,scalar,ray,,POSITIONAL_OR_KEYWORD
AutoMLPMultivariate,callbacks,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoMLPMultivariate,config,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoMLPMultivariate,cpus,False,scalar,32,,POSITIONAL_OR_KEYWORD
AutoMLPMultivariate,gpus,False,scalar,1,,POSITIONAL_OR_KEYWORD
AutoMLPMultivariate,h,True,empty,,,POSITIONAL_OR_KEYWORD
AutoMLPMultivariate,loss,False,object,,8457c3e30e7f,POSITIONAL_OR_KEYWORD
AutoMLPMultivariate,n_series,True,empty,,,POSITIONAL_OR_KEYWORD
AutoMLPMultivariate,num_samples,False,scalar,10,,POSITIONAL_OR_KEYWORD
AutoMLPMultivariate,refit_with_val,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoMLPMultivariate,search_alg,False,object,,533e6ebe1215,POSITIONAL_OR_KEYWORD
AutoMLPMultivariate,valid_loss,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoMLPMultivariate,verbose,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoNBEATS,alias,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoNBEATS,backend,False,scalar,ray,,POSITIONAL_OR_KEYWORD
AutoNBEATS,callbacks,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoNBEATS,config,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoNBEATS,cpus,False,scalar,32,,POSITIONAL_OR_KEYWORD
AutoNBEATS,gpus,False,scalar,1,,POSITIONAL_OR_KEYWORD
AutoNBEATS,h,True,empty,,,POSITIONAL_OR_KEYWORD
AutoNBEATS,loss,False,object,,8457c3e30e7f,POSITIONAL_OR_KEYWORD
AutoNBEATS,num_samples,False,scalar,10,,POSITIONAL_OR_KEYWORD
AutoNBEATS,refit_with_val,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoNBEATS,search_alg,False,object,,533e6ebe1215,POSITIONAL_OR_KEYWORD
AutoNBEATS,valid_loss,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoNBEATS,verbose,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoNBEATSx,alias,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoNBEATSx,backend,False,scalar,ray,,POSITIONAL_OR_KEYWORD
AutoNBEATSx,callbacks,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoNBEATSx,config,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoNBEATSx,cpus,False,scalar,32,,POSITIONAL_OR_KEYWORD
AutoNBEATSx,gpus,False,scalar,1,,POSITIONAL_OR_KEYWORD
AutoNBEATSx,h,True,empty,,,POSITIONAL_OR_KEYWORD
AutoNBEATSx,loss,False,object,,8457c3e30e7f,POSITIONAL_OR_KEYWORD
AutoNBEATSx,num_samples,False,scalar,10,,POSITIONAL_OR_KEYWORD
AutoNBEATSx,refit_with_val,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoNBEATSx,search_alg,False,object,,533e6ebe1215,POSITIONAL_OR_KEYWORD
AutoNBEATSx,valid_loss,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoNBEATSx,verbose,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoNHITS,alias,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoNHITS,backend,False,scalar,ray,,POSITIONAL_OR_KEYWORD
AutoNHITS,callbacks,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoNHITS,config,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoNHITS,cpus,False,scalar,32,,POSITIONAL_OR_KEYWORD
AutoNHITS,gpus,False,scalar,1,,POSITIONAL_OR_KEYWORD
AutoNHITS,h,True,empty,,,POSITIONAL_OR_KEYWORD
AutoNHITS,loss,False,object,,8457c3e30e7f,POSITIONAL_OR_KEYWORD
AutoNHITS,num_samples,False,scalar,10,,POSITIONAL_OR_KEYWORD
AutoNHITS,refit_with_val,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoNHITS,search_alg,False,object,,533e6ebe1215,POSITIONAL_OR_KEYWORD
AutoNHITS,valid_loss,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoNHITS,verbose,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoNLinear,alias,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoNLinear,backend,False,scalar,ray,,POSITIONAL_OR_KEYWORD
AutoNLinear,callbacks,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoNLinear,config,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoNLinear,cpus,False,scalar,32,,POSITIONAL_OR_KEYWORD
AutoNLinear,gpus,False,scalar,1,,POSITIONAL_OR_KEYWORD
AutoNLinear,h,True,empty,,,POSITIONAL_OR_KEYWORD
AutoNLinear,loss,False,object,,8457c3e30e7f,POSITIONAL_OR_KEYWORD
AutoNLinear,num_samples,False,scalar,10,,POSITIONAL_OR_KEYWORD
AutoNLinear,refit_with_val,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoNLinear,search_alg,False,object,,533e6ebe1215,POSITIONAL_OR_KEYWORD
AutoNLinear,valid_loss,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoNLinear,verbose,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoPatchTST,alias,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoPatchTST,backend,False,scalar,ray,,POSITIONAL_OR_KEYWORD
AutoPatchTST,callbacks,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoPatchTST,config,False,scalar,,,POSITIONAL_OR_KEYWORD
